t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:58:30+0100 lvl=info msg="join connections" obj=join id=8615ce502812 l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:31+0100 lvl=info msg="join connections" obj=join id=1843284352eb l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:31+0100 lvl=info msg="join connections" obj=join id=cf766273eadb l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:31+0100 lvl=info msg="join connections" obj=join id=619326e7c317 l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:32+0100 lvl=info msg="join connections" obj=join id=9e3b40575a8b l=[::1]:3000 r=66.249.93.11:39170
t=2026-01-10T13:58:32+0100 lvl=info msg="join connections" obj=join id=55dfd924b284 l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:32+0100 lvl=info msg="join connections" obj=join id=77e5fa42c65e l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:32+0100 lvl=info msg="join connections" obj=join id=baffd67c99c5 l=[::1]:3000 r=74.125.210.3:40992
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=cc5e8d8e0274 l=[::1]:3000 r=74.125.210.6:50660
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=6f0f9d3337ff l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=edef117b57ec l=[::1]:3000 r=105.112.10.109:45834
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=b41c4fca4f6c l=[::1]:3000 r=74.125.210.1:48964
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=9bbb676f591d l=[::1]:3000 r=74.125.210.5:56858
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=b93ba2ee1ed9 l=[::1]:3000 r=74.125.210.5:52020
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=08a5d4dfe701 l=[::1]:3000 r=74.125.210.4:47660
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=162a7ebe9bde l=[::1]:3000 r=74.125.210.10:53658
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=dcfbad442070 l=[::1]:3000 r=74.125.210.5:43595
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=dd74f328d54e l=[::1]:3000 r=74.125.210.1:38757
t=2026-01-10T13:58:33+0100 lvl=info msg="join connections" obj=join id=ecfe3a73ef7a l=[::1]:3000 r=74.125.210.1:40471
